date,TICKER,CAPEI,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,pretret_earnat,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_at,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,inv_turn,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,accrual,ptb,PEG_trailing,divyield,COMNAM,SHRCD,EXCHCD,SICCD,PRC,VOL,RET,SHROUT,BIDLO,ASKHI,OPENPRC,vwretd,ewretd,sprtrn,TICKER_encoded,SHRCD_encoded,EXCHCD_encoded,SICCD_encoded,market_cap,RET_calc,RET_interp,TB3MS,T10Y2Y,BAA10Y,BM,ME,Size,Momentum,ShortTermReversal,LME,LTurnover,DollarVolume,spread,Volatility,Beta,BetaSquared,r2_1,r12_2,r12_7,r36_13,52_week_high,Rel_to_high,SUV,3_month_high,Rel_to_3month_high,1_month_high,Rel_to_1month_high,Idio_vol
2014-11-30,AAPL,22.043,0.223,10.361,18.325,18.439,18.439,18.439,3.816,11.681,0.284,0.216,0.331,0.287,0.429,0.293,0.26,0.275,0.291,0.365,0.261,0.336,0.254,0.336,1.46,0.587,0.339,0.794,0.206,0.251,0.206,0.017,0.015,0.208,0.031,0.397,0.152,0.584,0.179,0.527,0.241,0.953,0.941,0.496,0.84,5.833,0.22,0.519,0.37,1.078,103.891,136.727,0.395,1.047,1.08,51.691,53.838,0.833,7.639,3.982,1.301,1.639,35.962,0.033,0.007,0.0,-0.092,5.292,0.876,0.0158,APPLE INC,11,3,3571,118.93,24814402.0,-0.000588,5864840.0,118.05,119.4,119.27,-0.006097,-0.013253,-0.002542,0.0,0.0,1.0,10.0,697505421.2,-0.0005882352941175562,-0.000588,0.02,1.7983333333333331,2.4594444444444448,0.223,697505421.2,20.36302084395934,-0.007152648190691946,0.009534,633402720.0,0.03917634265921687,2951176829.86,0.011370814908401842,0.009767844187574209,1.0885110318482774,1.1848562664554014,0.009534,-0.006694000000000002,0.0015029999999999991,-0.12765,118.93,1.0,0.0,,,,,0.01924450778460037
2014-12-31,AAPL,20.324,0.223,10.361,17.008,17.113,17.113,17.113,3.518,10.77,0.284,0.216,0.331,0.287,0.429,0.293,0.26,0.275,0.291,0.365,0.261,0.336,0.254,0.336,1.46,0.587,0.339,0.794,0.206,0.251,0.206,0.017,0.015,0.208,0.031,0.397,0.152,0.584,0.179,0.527,0.241,0.953,0.941,0.496,0.84,5.833,0.22,0.519,0.37,1.078,103.891,136.727,0.395,1.047,1.08,51.691,53.838,0.833,7.639,3.982,1.301,1.639,35.962,0.033,0.007,0.0,-0.092,4.879,0.813,0.017,APPLE INC,11,3,3571,110.38,41403351.0,-0.019019,5826419.0,110.21,113.13,112.82,-0.008784,-0.001034,-0.010311,0.0,0.0,1.0,10.0,643120129.22,-0.019018841094916472,-0.019019,0.03,1.5718181818181818,2.5304545454545457,0.223,643120129.22,20.28184209091069,-0.007152648190691946,-0.000588,697505421.2,0.05935918165161925,4570101883.38,0.026148473179905096,0.010722988195503578,1.0885110318482774,1.1848562664554014,-0.000588,-0.006694000000000002,0.0015029999999999991,-0.12765,110.38,1.0,0.0,,,,,0.01924450778460037
2015-01-31,AAPL,21.566,0.223,10.361,18.052,18.164,18.164,18.164,3.733,11.428,0.284,0.216,0.331,0.287,0.429,0.293,0.26,0.275,0.291,0.365,0.261,0.336,0.254,0.336,1.46,0.587,0.339,0.794,0.206,0.251,0.206,0.017,0.015,0.208,0.031,0.397,0.152,0.584,0.179,0.527,0.241,0.953,0.941,0.496,0.84,5.833,0.22,0.519,0.37,1.078,103.891,136.727,0.395,1.047,1.08,51.691,53.838,0.833,7.639,3.982,1.301,1.639,35.962,0.033,0.007,0.0,-0.092,5.178,0.863,0.016,APPLE INC,11,3,3571,117.16,83753961.0,-0.014634,5824748.0,116.85,120.0,118.4,-0.012152,-0.009641,-0.012992,0.0,0.0,1.0,10.0,682427475.68,-0.014634146341463539,-0.014634,0.03,1.33,2.573,0.223,682427475.68,20.341166816637177,-0.027627385943962857,-0.019019,643120129.22,0.1302306632846027,9812614070.76,0.026599113362887953,0.01083526707514603,1.0885110318482774,1.1848562664554014,-0.019019,-0.027350000000000003,-0.026115000000000003,-0.12765,117.16,1.0,0.0,,,,,0.01924450778460037
2015-02-28,AAPL,23.765,0.228,8.768,4.299,4.328,4.328,4.328,3.745,10.574,0.251,0.223,0.339,0.297,0.434,0.301,0.264,0.306,0.317,0.407,0.261,0.369,0.275,0.369,1.586,0.666,0.377,0.816,0.184,0.205,0.184,0.016,0.014,0.306,0.027,0.309,0.13,0.442,0.102,0.508,0.241,1.195,1.25,0.496,0.847,6.053,0.192,0.484,0.323,0.938,104.16,137.555,0.604,1.248,1.282,51.691,57.818,0.867,8.894,4.205,1.37,1.679,12.497,0.033,0.007,0.0,-0.115,5.101,0.863,0.0146,APPLE INC,11,3,3571,128.46001,62014948.0,-0.014991,5824748.0,128.24001,130.57001,130.0,-0.002605,-0.001387,-0.002956,0.0,0.0,1.0,10.0,748247186.3274801,-0.01499045470156446,-0.014991,0.02,1.3563157894736841,2.531578947368421,0.228,748247186.3274801,20.433243944352533,-0.03925346366459015,-0.014634,682427475.68,0.09087404919944886,7966440840.229481,0.018005485259032738,0.010884189305371569,1.0885110318482774,1.1848562664554014,-0.014634,-0.039274,-0.020960000000000003,-0.12765,128.46001,1.0,0.0,,,,,0.01924450778460037
2015-03-31,AAPL,23.019,0.228,8.768,4.164,4.192,4.192,4.192,3.627,10.242,0.251,0.223,0.339,0.297,0.434,0.301,0.264,0.306,0.317,0.407,0.261,0.369,0.275,0.369,1.586,0.666,0.377,0.816,0.184,0.205,0.184,0.016,0.014,0.306,0.027,0.309,0.13,0.442,0.102,0.508,0.241,1.195,1.25,0.496,0.847,6.053,0.192,0.484,0.323,0.938,104.16,137.555,0.604,1.248,1.282,51.691,57.818,0.867,8.894,4.205,1.37,1.679,12.497,0.033,0.007,0.0,-0.115,4.941,0.863,0.0151,APPLE INC,11,3,3571,124.43,42304683.0,-0.015352,5824748.0,124.355,126.49,126.09,-0.007119,-0.003535,-0.008796,0.0,0.0,1.0,10.0,724773393.64,-0.015351744876157314,-0.015352,0.03,1.4022727272727273,2.4963636363636366,0.228,724773393.64,20.401369603465184,-0.053443986443757474,-0.014991,748247186.3274801,0.056538378991624845,5263971705.690001,0.017022464071438464,0.010893422980775842,1.0885110318482774,1.1848562664554014,-0.014991,-0.054041,-0.014343000000000003,-0.12765,124.43,1.0,0.0,,,,,0.01924450778460037
2015-04-30,AAPL,22.904,0.228,8.768,4.188,4.217,4.217,4.217,3.609,10.191,0.251,0.223,0.339,0.297,0.434,0.301,0.264,0.306,0.317,0.407,0.261,0.369,0.275,0.369,1.586,0.666,0.377,0.816,0.184,0.205,0.184,0.016,0.014,0.306,0.027,0.309,0.13,0.442,0.102,0.508,0.241,1.195,1.25,0.496,0.847,6.053,0.192,0.484,0.323,0.938,104.16,137.555,0.604,1.248,1.282,51.691,57.818,0.867,8.894,4.205,1.37,1.679,12.497,0.033,0.007,0.0,-0.115,4.916,0.863,0.015,APPLE INC,11,3,3571,125.15,83195423.0,-0.02713,5762278.0,124.58,127.88,127.5,-0.010676,-0.011719,-0.010129,0.0,0.0,1.0,10.0,721149091.7,-0.02712997512437798,-0.027130,0.02,1.395,2.549090909090909,0.228,721149091.7,20.396356458476948,-0.0644372159144615,-0.015352,724773393.64,0.11478818583857088,10411907188.45,0.02614275528796639,0.011923259009180334,1.0885110318482774,1.1848562664554014,-0.015352,-0.065611,-0.0010270000000000019,-0.12765,125.15,1.0,0.0,,,,,0.01924450778460037
2015-05-31,AAPL,22.52,0.213,9.098,3.996,4.026,4.026,4.026,3.538,9.838,0.235,0.225,0.344,0.302,0.439,0.306,0.268,0.316,0.342,0.43,0.261,0.402,0.29,0.402,1.859,0.703,0.381,0.788,0.212,0.238,0.212,0.016,0.014,0.261,0.029,0.32,0.15,0.502,0.109,0.491,0.265,1.206,1.261,0.496,0.845,6.255,0.228,0.504,0.348,1.016,94.925,125.68,0.531,1.155,1.189,51.691,56.801,0.868,9.205,4.276,1.379,1.75,18.537,0.033,0.007,0.0,-0.12,4.912,0.863,0.016,APPLE INC,11,3,3571,130.28,51248429.0,-0.011383,5762278.0,129.89999,131.45,131.23,-0.005829,-0.002778,-0.006318,0.0,0.0,1.0,10.0,750709577.84,-0.011382607375929554,-0.011383,0.02,1.5885,2.691,0.213,750709577.84,20.436529421007197,-0.08639667619573133,-0.027130,721149091.7,0.07106495673341219,6676645330.12,0.011861565405072227,0.011615166113559814,1.0885110318482774,1.1848562664554014,-0.027130,-0.088995,0.0021309999999999988,-0.12765,130.28,1.0,0.0,,,,,0.01924450778460037
2015-06-30,AAPL,21.467,0.213,9.098,3.847,3.876,3.876,3.876,3.373,9.378,0.235,0.225,0.344,0.302,0.439,0.306,0.268,0.316,0.342,0.43,0.261,0.402,0.29,0.402,1.859,0.703,0.381,0.788,0.212,0.238,0.212,0.016,0.014,0.261,0.029,0.32,0.15,0.502,0.109,0.491,0.265,1.206,1.261,0.496,0.845,6.255,0.228,0.504,0.348,1.016,94.925,125.68,0.531,1.155,1.189,51.691,56.801,0.868,9.205,4.276,1.379,1.75,18.537,0.033,0.007,0.0,-0.12,4.682,0.863,0.0166,APPLE INC,11,3,3571,125.425,44372693.0,0.007187,5705400.0,124.86,126.12,125.57,0.002975,0.004032,0.002658,0.0,0.0,1.0,10.0,715599795.0,0.00718702320725928,0.007187,0.02,1.675,2.7618181818181817,0.213,715599795.0,20.388631623125907,-0.10602915373086275,-0.011383,750709577.84,0.059107668677509835,5565445019.525,0.010040640688501115,0.011716134969109015,1.0885110318482774,1.1848562664554014,-0.011383,-0.110706,-0.027216000000000004,-0.12765,125.425,1.0,0.0,,,,,0.01924450778460037
2015-07-31,AAPL,20.751,0.213,9.098,3.721,3.748,3.748,3.748,3.26,9.065,0.235,0.225,0.344,0.302,0.439,0.306,0.268,0.316,0.342,0.43,0.261,0.402,0.29,0.402,1.859,0.703,0.381,0.788,0.212,0.238,0.212,0.016,0.014,0.261,0.029,0.32,0.15,0.502,0.109,0.491,0.265,1.206,1.261,0.496,0.845,6.255,0.228,0.504,0.348,1.016,94.925,125.68,0.531,1.155,1.189,51.691,56.801,0.868,9.205,4.276,1.379,1.75,18.537,0.033,0.007,0.0,-0.12,4.526,0.68,0.0171,APPLE INC,11,3,3571,121.3,42885153.0,-0.008744,5702722.0,120.91,122.6425,122.6,-0.000764,0.002575,-0.002272,0.0,0.0,1.0,10.0,691740178.6,-0.008743973196044807,-0.008744,0.03,1.656818181818182,2.877272727272727,0.213,691740178.6,20.354720978626652,-0.075587011401961,0.007187,715599795.0,0.059928962109330956,5201969058.9,0.014226912062081085,0.011407890287810163,1.0885110318482774,1.1848562664554014,0.007187,-0.077538,-0.015869,-0.12765,121.3,1.0,0.0,,,,,0.01924450778460037
2015-08-31,AAPL,18.237,0.21,9.106,3.229,3.251,3.251,3.251,2.866,7.935,0.225,0.226,0.347,0.302,0.442,0.307,0.271,0.319,0.355,0.429,0.261,0.419,0.292,0.419,2.177,0.74,0.386,0.767,0.233,0.266,0.233,0.016,0.014,0.233,0.03,0.328,0.165,0.546,0.124,0.485,0.277,1.193,1.242,0.496,0.859,6.542,0.256,0.524,0.37,1.1,84.175,111.102,0.48,1.08,1.114,51.691,56.677,0.873,9.419,4.263,1.405,1.833,30.209,0.034,0.007,0.0,-0.121,4.281,0.68,0.0184,APPLE INC,11,3,3571,112.76,56229563.0,-0.004678,5702722.0,112.0,114.53,112.03,-0.007265,0.001207,-0.008392,0.0,0.0,1.0,10.0,643038932.72,-0.004678259334451429,-0.004678,0.07,1.4695238095238095,3.020952380952381,0.21,643038932.72,20.281715828922557,-0.08590504074962935,-0.008744,691740178.6,0.08128711435238872,6340445523.88,0.02233699730719994,0.011106609913873241,1.0885110318482774,1.1848562664554014,-0.008744,-0.088727,-0.033305,-0.12765,112.76,1.0,0.6563527607030393,,,,,0.01924450778460037
2015-09-30,AAPL,98.551,0.221,5.178,33.5225,36.80166666666667,-9.685833333333335,-9.685833333333335,8.164,50.207,10.327,0.043,0.256,0.221,0.398,0.051,0.084,0.072,0.023,0.078,0.163,0.006,0.041,0.029,0.496,0.307,0.114,0.525,0.47,0.472,0.471,0.067,0.067,0.108,0.254,0.229,0.378,5.168,0.004,0.132,0.653,0.961,0.61,0.102,0.814,9.133,0.718,0.576,0.498,1.373,1.481,2.497,0.823,1.308,1.755,23.788,5.057,0.285,9.323,4.004,0.356,0.683,4.972,0.0,0.035,0.0,-0.034,4.53,-4.7095,0.031200000000000002,APPLE INC,11,3,3571,110.3,66473033.0,0.01137,5702722.0,108.73,111.54,110.17,0.01943,0.014167,0.019076,0.0,0.0,1.0,10.0,629010236.6,0.011369888134971529,0.011370,0.02,1.4595238095238094,3.1680952380952383,0.221,629010236.6,20.259658088936103,-0.09596070021254399,-0.004678,643038932.72,0.10337326344895591,7331975539.9,0.025514141735143252,0.011648345858962121,1.0885110318482774,1.1848562664554014,-0.004678,-0.099798,-0.05505,-0.12765,633.0,0.17424960505529224,0.8190222204877068,,,633.0,0.17424960505529224,0.01924450778460037
2015-10-31,AAPL,108.896,0.2,5.178,37.297000000000004,39.92033333333333,-53.05466666666667,-53.05466666666667,9.021,55.477,10.327,0.043,0.256,0.221,0.398,0.051,0.084,0.072,0.023,0.078,0.163,0.006,0.041,0.029,0.496,0.307,0.114,0.525,0.47,0.472,0.471,0.067,0.067,0.108,0.254,0.229,0.378,5.168,0.004,0.132,0.653,0.961,0.61,0.102,0.814,9.133,0.718,0.576,0.498,1.373,1.481,2.497,0.823,1.308,1.755,23.788,5.057,0.285,9.323,4.004,0.356,0.683,4.972,0.0,0.035,0.0,-0.034,5.005,-4.7095,0.0282,APPLE INC,11,3,3571,119.5,49365254.0,-0.008546,5575331.0,119.45,121.22,120.99,-0.004004,-0.001223,-0.00481,0.0,0.0,1.0,10.0,666252054.5,-0.008545590309466555,-0.008546,0.02,1.4252380952380952,3.2714285714285714,0.2,666252054.5,20.317178617116873,-0.09431655929761684,0.011370,629010236.6,0.07848084359776857,5899147853.0,0.014708937549341388,0.01165353548555793,1.0885110318482774,1.1848562664554014,0.011370,-0.097962,-0.091714,-0.12765,633.0,0.18878357030015797,0.2910510735766521,,,633.0,0.18878357030015797,0.01924450778460037
